Gene	avg_logFC	p_val_adj	AUC_score	RNA_Cluster
CRHBP	0.948142513120847	1.06651044603131e-74	0.831013212958658	HSC/MPP2
AVP	0.955404057121848	2.78844863049585e-47	0.768571593167612	HSC/MPP2
CCR7	1.64416724372148	7.52262862505898e-76	0.78882888973316	MLP
KCNK17	1.07289237091411	1.20841670564951e-48	0.761137867071917	MLP
HOPX	1.38150541139717	1.66627128168226e-48	0.816559022035489	MLP
CD52	1.19561263379612	1.25850773753521e-46	0.817327247128235	MLP
CD99	0.730019809929519	5.38895271466008e-44	0.80908209672373	MLP
CYTH4	0.842297266234045	2.84210563510456e-40	0.742232545925893	MLP
LGMN	0.832785185044166	1.16058254372671e-36	0.690796384034327	MLP
C10orf54	0.914779863695552	1.75688510857217e-36	0.777466142225003	MLP
TSC22D1	1.11925927536296	2.02098017858233e-36	0.782240311983194	MLP
LST1	0.968757678992234	8.71302089741495e-36	0.779497050015644	MLP
JCHAIN	1.38630823384426	1.32166266347424e-33	0.736987663701783	MLP
PRSS2	2.28929440779112	6.13093721744916e-32	0.716089147633308	MLP
HOXA9	1.12367736411286	4.11140364999417e-31	0.758190676261565	MLP
CORO1A	0.741321313841779	4.00463652667742e-29	0.75075984445537	MLP
SLC2A5	1.02909628613556	9.67171111765525e-27	0.735319916864077	MLP
HCST	0.887773144252125	1.55915477180908e-26	0.737750301702946	MLP
SPINK2	1.11839377675419	1.70783589519017e-25	0.739507442005989	MLP
PLP2	0.77825757744209	3.0561449007224e-23	0.728530203817101	MLP
LPIN1	0.769338731102551	3.24556742279955e-22	0.722060351763286	MLP
CARD19	0.724583544037209	6.0769750222234e-20	0.712111138425781	MLP
TYROBP	1.00235593112641	1.85038917202324e-17	0.677200196665624	MLP
LTB	0.712447703936684	3.13445918775079e-16	0.655199626782282	MLP
ID2	0.844337465035429	1.67658904598099e-15	0.689430340142136	MLP
ACY3	0.847757794471205	1.23455329048259e-12	0.609082376078309	MLP
RUNX3	0.832083200087339	1.17051306431113e-06	0.6293621217539	MLP
KLF1	1.22881181861887	1.38911288532678e-112	0.933181292951408	MEP2
BLVRB	1.96867549194383	1.02402906342123e-104	0.979577935899775	MEP2
GATA1	1.2315600232365	1.21242182852296e-95	0.931359849175941	MEP2
APOC1	2.04460198484415	7.702821706674e-93	0.931444991789819	MEP2
TFR2	0.875262494645191	8.82751717810498e-93	0.892623000668978	MEP2
CNRIP1	1.21116101956542	3.72493828621896e-91	0.910433011007724	MEP2
PPP1R14A	0.847322651106272	4.37077677229481e-85	0.824136410630664	MEP2
S100A6	1.61365663780814	4.89414093410223e-82	0.934799002615095	MEP2
HBD	2.11427059738011	1.35777514745922e-81	0.925682661314845	MEP2
FAM178B	0.824078675962433	5.1308509089323e-78	0.782366356504288	MEP2
ITGA2B	0.879794527640555	1.06971155127964e-77	0.886410630663504	MEP2
SMIM1	0.887691475136239	1.16545159576224e-77	0.835428449796266	MEP2
TMEM14C	1.22460710486353	1.22675619172822e-74	0.913653226296904	MEP2
FBXO7	0.901985542296265	1.20974152416716e-70	0.90407924344706	MEP2
PLIN2	1.22960015795124	3.49018720063713e-70	0.890996168582376	MEP2
MPC2	1.12433431710256	2.19888017456819e-66	0.892224654868333	MEP2
S100A4	1.30380752063156	1.55275739020144e-64	0.887287903667214	MEP2
MINPP1	0.705048646352374	3.16039036826137e-64	0.851971963753573	MEP2
EMP3	0.950914000684042	3.53293490886339e-62	0.87814115429058	MEP2
TFRC	1.0343763329265	1.20611618952353e-57	0.865692087818525	MEP2
HMBS	0.834168188429292	2.26045772811179e-55	0.825095785440613	MEP2
MPST	0.822960416152472	3.01492218097617e-55	0.850784528370735	MEP2
FAM45A	0.747739621848917	2.95195067595742e-54	0.839750957854406	MEP2
REXO2	0.901469692677805	3.82650840048588e-52	0.846527397676823	MEP2
SLC40A1	0.756013569358055	1.96632480769734e-51	0.839329805996473	MEP2
UROD	0.88204090731996	5.89551046401229e-51	0.845067810010339	MEP2
EPSTI1	0.854443702128906	1.34953000557262e-50	0.828413306574226	MEP2
TMEM14B	0.766639114420704	5.78270825158081e-50	0.842039165602384	MEP2
PRDX2	0.949202270357553	1.56532402298972e-47	0.832396764580673	MEP2
CST3	0.867281290588335	7.40481805538892e-47	0.828115307425652	MEP2
PDCD4	0.739916607095872	1.30422063578833e-46	0.830491698595147	MEP2
ATPIF1	0.871974225073114	2.15268050449393e-44	0.823841452289728	MEP2
CTNNBL1	0.747096927888955	9.11079336759064e-42	0.811641732044031	MEP2
NAA38	0.847510175233718	5.25436105192272e-41	0.811628048409658	MEP2
CA1	1.94856197713117	1.73944036500516e-39	0.789189928845101	MEP2
HBB	2.17921619153935	7.94082681353004e-38	0.800085142613878	MEP2
AHSP	1.42544533643426	3.48035566947351e-36	0.756355287964483	MEP2
DNPH1	0.729768080519947	3.37396998865152e-33	0.772147722435079	MEP2
CA2	0.934719863965167	4.0770250243145e-33	0.742951407893937	MEP2
MIF	0.863364556596655	1.09317144491872e-31	0.776351638995317	MEP2
ATP5G1	0.709498293696256	1.07670092632846e-29	0.767077175697865	MEP2
MYC	0.907491629725546	1.46998773877046e-29	0.766134525329928	MEP2
SLC25A37	0.841983557187225	6.72161835371629e-14	0.683912607188469	MEP2
POLR3K	0.751123629043877	4.59836070402521e-08	0.635738612175394	MEP2
ALAS2	0.83931627432684	0.00288429943346928	0.573362525086663	MEP2
MNDA	0.971818538910663	9.59182718748808e-102	0.838146398535637	Neu
CEBPD	1.01366907447921	5.67550705315396e-99	0.852711398504186	Neu
CSTA	0.926069215628965	6.29522072921281e-93	0.828937519263793	Neu
LYST	1.145799074133	1.15980211888284e-92	0.908081043169767	Neu
AZU1	2.86268508294527	9.25405442825433e-85	0.921042037527441	Neu
