cell_id	celltype	UMI_number	gene_number	individual	tissue	population	cluster	redefined_cluster
BNK_spBM1_L1_bar25	BNK	24487	1864	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar26	BNK	61955	2047	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar27	BNK	124347	3858	spBM1	spBM	sp	HSPC_C9	G2M
BNK_spBM1_L1_bar28	BNK	8138	1471	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar29	BNK	53610	2084	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar30	BNK	33571	2036	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar31	BNK	6236	1592	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar32	BNK	141055	4856	spBM1	spBM	sp	HSPC_C7	B-NK1
BNK_spBM1_L1_bar33	BNK	91970	4443	spBM1	spBM	sp	HSPC_C7	B-NK1
BNK_spBM1_L1_bar35	BNK	63803	4102	spBM1	spBM	sp	HSPC_C9	G2M
BNK_spBM1_L1_bar36	BNK	88615	4798	spBM1	spBM	sp	HSPC_C7	B-NK1
BNK_spBM1_L1_bar37	BNK	179168	5009	spBM1	spBM	sp	HSPC_C9	G2M
BNK_spBM1_L1_bar38	BNK	228560	4751	spBM1	spBM	sp	HSPC_C7	B-NK1
BNK_spBM1_L1_bar40	BNK	174263	4364	spBM1	spBM	sp	HSPC_C7	B-NK1
BNK_spBM1_L1_bar42	BNK	52409	2415	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar44	BNK	49604	3834	spBM1	spBM	sp	HSPC_C9	G2M
BNK_spBM1_L1_bar45	BNK	49277	3033	spBM1	spBM	sp	HSPC_C6	MLP
BNK_spBM1_L1_bar46	BNK	19355	3698	spBM1	spBM	sp	HSPC_C9	G2M
BNK_spBM1_L1_bar47	BNK	55721	2450	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L1_bar48	BNK	125555	4973	spBM1	spBM	sp	HSPC_C7	B-NK1
BNK_spBM1_L2_bar49	BNK	118631	5694	spBM1	spBM	sp	HSPC_C7	B-NK1
BNK_spBM1_L2_bar50	BNK	24479	3009	spBM1	spBM	sp	HSPC_C8	B-NK2
BNK_spBM1_L2_bar52	BNK	166416	5275	spBM1	spBM	sp	HSPC_C9	G2M
BNK_spBM1_L2_bar53	BNK	49928	3742	spBM1	spBM	sp	HSPC_C7	B-NK1
